audit_datum,video_datum,laenge,aufrufe,likes,titel
2026-08-24,2026-08-24,4:29,0,0,Sie überlebte 3000m Sturz im Amazonas
2026-08-24,2026-08-23,32s,1098,6,3 Männer fanden sie | Amazonas-Rettung
2026-08-24,2026-08-23,25s,1116,20,10 Tage allein im Regenwald
2026-08-24,2026-08-23,31s,1159,13,Der Fluss war ihr Ausweg | Doku
2026-08-24,2026-08-22,27s,11,1,50 Maden im Arm | Amazonas-Überlebensdoku
2026-08-24,2026-08-22,24s,503,14,Der letzte Rat ihres Vaters | Doku
2026-08-24,2026-08-22,24s,65,2,17 Jahre alt und verletzt. Allein im Amazonas
2026-08-24,2026-08-21,26s,60,3,Flugzeugabsturz im Regenwald überlebt?
2026-08-24,2026-08-21,23s,1230,9,3000 Meter freier Fall in den Dschungel
2026-08-24,2026-08-21,34s,1801,16,92 Passagiere. 1 Überlebende. | Doku
2026-08-24,2026-08-20,39s,531,8,Alle 33 Bergleute kommen lebend raus
2026-08-24,2026-08-20,34s,915,20,Ein 16-cm-Loch versorgt 33 Männer
2026-08-24,2026-08-20,33s,917,13,Ein Zettel aus 700 Metern Tiefe
2026-08-24,2026-08-19,19s,651,3,Die Familien gingen nicht nach Hause
2026-08-24,2026-08-19,23s,657,8,Sie bohrten ohne Lösung blind in den Berg
2026-08-24,2026-08-19,29s,770,8,17 Tage lang ohne Wasser! Sie tranken Maden
2026-08-24,2026-08-19,23s,785,3,Nur 1 Löffel Fisch für 33 verschüttete
2026-08-24,2026-08-18,20s,315,2,Der Schichtführer rettet 33 Bergleute
2026-08-24,2026-08-18,29s,324,6,In 700m Tiefe im Bergwerk eingeschlossen
2026-08-24,2026-08-18,27s,710,6,Um 14 Uhr bebte das Bergwerk in Chile
2026-08-24,2026-08-18,26s,1684,24,33 Mann fahren ein. 700 Meter tief.
2026-08-24,2026-08-17,34s,701,9,Katastrophe abgewehrt Opfer gerettet Tham Luang
2026-08-24,2026-08-17,34s,424,13,Taucher retten bewusstlose Kinder Tham Luang
2026-08-24,2026-08-17,24s,453,9,Risiko Notfall Idee Opfer bewusstlos
2026-08-24,2026-08-17,18s,1109,20,Tham Luang und der erste Lichtblick
2026-08-24,2026-08-16,33s,276,6,Tham Luang Schreckliches Höhlen Unglück
2026-08-24,2026-08-16,19s,749,6,Tham Luang Das Höhlen Unglück Thailand
2026-08-24,2026-08-16,34s,278,9,Tham Luang was wirklich in der Höhle passierte
2026-08-24,2026-08-16,21s,208,8,Tham Luang was wirklich in der Höhle
2026-08-24,2026-08-15,5:39,10,2,Tham Luang Unglück Langvideo
2026-08-24,2026-08-15,32s,35,2,Tham Luang KATASTROPHE Teil 5
2026-08-24,2026-08-15,28s,13,3,Tham Luang Höhlen UNGLÜCK Teil 4
2026-08-24,2026-08-15,22s,183,3,Tham Luang Höhlen Katastrophe Teil 3
2026-08-24,2026-08-15,28s,31,3,Tham Luang Teil 2
2026-08-24,2026-08-15,19s,452,4,Tham Luang Teil 1
